 /*  opinionesUsuario.csv: datos generados por la información recibida de los logs de aplicaciones, columnas: usuario, aplicacion, opinion o valoración de usuario 

    Copyright (C) 2016  Natividad Crespo Belver. 
    Proyecto desarrollado como parte del TFG en la Universidad Internacional de la Rioja

    This program is free software: you can redistribute it and/or modify
    it under the terms of the GNU General Public License as published by
    the Free Software Foundation, either version 3 of the License, or
476892,7,1.0 
476888,3,6.0 
476888,6,10.0 
476886,9,1.0 
476886,8,4.0 
476884,9,10.0 
476884,7,1.0 
476883,1,1.0 
476881,9,6.0 
476877,4,4.0 
476875,5,1.0 
476873,3,6.0 
476873,2,10.0 
476871,9,6.0 
476870,3,6.0 
476870,8,1.0 
476870,5,6.0 
476870,1,6.0 
476869,4,4.0 
476869,7,10.0 
476868,9,6.0 
476868,1,1.0 
476867,1,6.0 
476864,9,4.0 
476864,1,6.0 
476864,6,1.0 
476864,1,6.0 
476863,4,3.5 
476863,5,4.0 
476863,4,3.5 
476862,4,10.0 
476861,6,10.0 
476860,2,1.0 
476860,1,4.0 
476859,4,6.0 
476859,7,10.0 
476856,1,6.0 
476855,6,10.0 
476855,1,8.0 
476855,1,8.0 
476854,3,4.66 
476854,3,4.66 
476854,3,4.66 
476853,2,4.0 
476852,3,4.33 
476852,3,4.33 
476852,3,4.33 
476851,2,4.0 
476851,9,4.0 
476848,9,3.5 
476848,9,3.5 
476847,6,6.0 
476846,7,10.0 
476846,1,1.0 
476841,8,4.0 
476839,1,6.0 
476836,7,4.0 
476834,4,6.0 
476831,2,6.0 
476830,3,1.0 
476828,9,1.0 
476826,2,6.0 
476826,7,10.0 
476824,4,6.0 
476824,9,10.0 
476822,2,10.0 
476818,2,1.0 
476818,8,10.0 
476816,8,10.0 
476815,3,6.0 
476814,8,4.0 
476813,4,10.0 
476813,2,6.0 
476813,6,10.0 
476812,1,4.0 
476812,4,4.0 
476811,2,4.0 
476811,9,10.0 
476809,5,10.0 
476808,7,4.0 
476808,1,4.0 
476806,8,6.0 
476805,7,6.0 
476804,3,10.0 
476801,3,1.0 
476800,9,4.0 
476800,3,1.0 
476798,4,6.0 
476796,8,1.0 
476796,6,10.0 
476790,1,6.0 
476790,7,1.0 
476789,5,6.0 
476788,8,10.0 
476786,4,6.0 
476782,3,1.0 
476782,4,6.0 
476782,5,1.0 
476781,2,6.0 
476781,3,6.0 
476780,9,1.0 
476779,8,1.0 
476778,6,1.0 
476778,5,6.0 
476777,3,6.0 
476776,5,4.0 
476776,4,10.0 
476774,5,6.0 
476773,1,4.0 
476771,9,4.0 
476770,1,1.0 
476769,5,4.0 
476768,3,4.0 
476765,3,1.0 
476764,2,6.0 
476764,7,10.0 
476764,3,10.0 
476763,3,10.0 
476763,4,1.0 
476762,2,6.0 
476761,5,1.0 
476759,3,1.0 
476758,2,4.0 
476757,1,10.0 
476757,7,1.0 
476756,1,4.0 
476755,1,4.0 
476755,6,6.0 
476755,1,4.0 
476754,1,1.0 
476754,8,4.0 
476753,8,4.0 
476752,3,4.0 
476752,4,10.0 
476751,8,10.0 
476750,5,10.0 
476750,2,1.0 
476747,1,1.0 
476745,6,1.0 
476742,9,4.0 
476742,5,6.0 
476742,2,10.0 
476741,7,6.0 
476740,9,1.0 
476740,3,8.0 
476740,3,8.0 
476739,2,10.0 
476739,3,1.0 
476739,9,1.0 
476734,5,6.0 
476731,3,10.0 
476730,3,4.0 
476730,4,6.0 
476729,8,10.0 
476729,5,6.0 
476726,2,10.0 
476724,1,4.0 
476724,2,6.0 
476724,4,1.0 
476723,1,4.0 
476721,9,6.0 
476720,4,6.0 
476719,7,10.0 
476718,4,4.0 
476718,1,6.0 
476717,1,6.0 
476714,1,10.0 
476714,5,5.5 
476714,5,5.5 
476709,5,10.0 
476708,2,6.0 
476707,4,10.0 
476706,1,4.0 
476705,6,4.0 
476705,8,10.0 
476702,8,1.0 
476700,3,4.0 
476699,1,1.0 
476698,2,10.0 
476698,6,10.0 
476697,9,1.0 
476696,8,4.0 
476696,8,4.0 
476696,4,10.0 
476693,7,4.0 
476692,5,6.0 
476690,8,4.0 
476689,3,1.0 
476689,1,6.0 
476689,6,6.0 
476688,6,10.0 
476687,4,10.0 
476686,2,10.0 
476686,4,1.0 
476684,7,10.0 
476682,9,10.0 
476682,3,10.0 
476682,1,4.0 
476679,9,1.0 
476679,2,10.0 
476678,6,10.0 
476677,6,1.0 
476677,1,6.0 
476675,1,4.0 
476674,4,10.0 
476672,3,4.0 
476671,7,4.0 
476667,7,6.0 
476666,8,4.0 
476665,5,1.0 
476663,6,10.0 
476663,6,10.0 
476661,6,1.0 
476661,8,6.0 
476661,1,6.0 
476659,9,4.0 
476659,1,10.0 
476655,3,6.0 
476655,1,1.0 
476654,2,1.0 
476654,9,1.0 
476654,5,1.0 
476653,8,7.0 
476653,8,7.0 
476650,1,1.0 
476649,5,6.0 
476649,6,6.0 
476649,4,1.0 
476648,1,6.0 
476647,4,10.0 
476647,9,4.0 
476642,5,4.0 
476641,5,4.0 
476638,9,1.0 
476636,9,6.0 
476630,7,1.0 
476630,1,6.0 
476630,5,1.0 
476628,2,10.0 
476627,3,1.0 
476624,8,4.0 
476623,3,6.0 
476619,5,4.0 
476618,1,10.0 
476617,6,10.0 
476615,9,10.0 
476612,1,10.0 
476610,1,10.0 
476607,6,6.0 
476607,1,4.0 
476607,2,4.0 
476606,3,4.0 
476605,5,10.0 
476602,4,4.0 
476598,5,10.0 
476598,1,10.0 
476596,3,1.0 
476591,1,4.0 
476591,5,6.0 
476588,2,6.0 
476587,3,4.0 
476586,2,6.0 
476582,1,1.0 
476582,7,4.0 
476578,3,4.0 
476576,1,4.0 
476574,7,6.0 
476574,4,4.0 
476569,5,10.0 
476568,2,10.0 
476568,7,10.0 
476567,1,4.0 
476565,4,6.0 
476565,8,1.0 
476564,8,1.0 
476563,5,6.0 
476563,6,4.0 
476561,4,4.0 
476561,2,4.0 
476560,6,1.0 
476560,1,6.0 
476559,1,6.0 
476559,2,4.0 
476557,8,6.0 
476557,6,10.0 
476557,4,6.0 
476555,2,4.0 
476553,3,4.0 
476553,6,4.0 
476552,2,4.0 
476550,8,6.0 
476549,5,1.0 
476548,3,10.0 
476547,1,1.0 
476547,7,1.0 
476546,2,1.0 
476546,7,6.0 
476543,3,6.0 
476543,9,10.0 
476542,9,10.0 
476540,2,6.0 
476540,4,5.5 
476540,5,1.0 
476540,4,5.5 
476540,6,10.0 
476540,3,10.0 
476536,9,10.0 
476534,2,1.0 
476531,1,6.0 
476529,5,6.0 
476529,9,1.0 
476528,5,6.0 
476526,9,10.0 
476526,4,10.0 
476523,4,1.0 
476523,5,10.0 
476522,9,10.0 
476522,6,10.0 
476521,2,6.0 
476520,1,1.0 
476519,1,4.0 
476518,1,6.0 
476516,3,1.0 
476516,7,1.0 
476514,4,1.0 
476513,9,4.0 
476513,7,10.0 
476512,3,6.0 
476512,8,1.0 
476511,3,10.0 
476510,9,4.0 
476509,4,4.0 
476507,5,4.0 
476507,1,6.0 
476505,6,10.0 
476505,5,4.0 
476504,2,1.0 
476504,3,4.0 
476502,8,10.0 
476501,9,2.5 
476501,8,10.0 
476501,9,2.5 
476500,2,4.0 
476499,6,1.0 
476497,4,4.0 
476496,2,1.0 
476496,6,4.0 
476493,7,6.0 
476492,1,4.0 
476490,9,6.0 
476490,8,6.0 
476489,4,1.0 
476488,6,4.0 
476488,4,10.0 
476488,5,4.0 
476487,9,10.0 
476486,1,10.0 
476485,1,7.0 
476485,1,7.0 
476483,5,6.0 
476483,8,10.0 
476483,1,6.0 
476481,5,1.0 
476480,2,6.0 
476478,1,4.0 
476478,2,6.0 
476477,9,10.0 
476475,5,10.0 
476473,5,1.0 
476472,9,10.0 
476469,9,4.0 
476467,2,10.0 
476465,7,4.0 
476465,5,10.0 
476463,5,6.0 
476463,8,1.0 
476460,4,4.0 
476460,1,1.0 
476457,6,4.0 
476456,5,10.0 
476456,8,10.0 
476453,2,10.0 
476453,1,6.0 
476452,9,4.0 
476451,4,6.0 
476451,3,4.0 
476451,8,10.0 
476448,1,6.0 
476446,5,6.0 
476446,2,10.0 
476445,4,10.0 
476444,6,1.0 
476443,7,4.0 
476439,6,4.0 
476437,9,4.0 
476436,7,4.0 
476436,8,6.0 
476435,1,10.0 
476435,7,4.0 
476432,7,1.0 
476432,2,6.0 
476432,9,1.0 
476432,7,1.0 
476430,1,6.0 
476429,1,10.0 
476428,4,6.0 
476427,3,4.0 
476426,5,1.0 
476426,6,4.0 
476425,5,1.0 
476425,1,6.0 
476424,8,6.0 
476423,8,4.0 
476423,9,4.0 
476422,1,4.0 
476422,7,4.0 
476420,2,6.0 
476419,6,6.0 
476419,2,10.0 
476418,8,4.0 
476417,8,1.0 
476414,1,4.0 
476411,2,4.0 
476411,1,10.0 
476410,3,6.0 
476410,2,4.0 
476408,2,1.0 
476407,6,4.0 
476407,8,1.0 
476407,3,6.0 
476406,7,1.0 
476405,5,10.0 
476405,4,10.0 
476404,1,4.0 
476401,9,6.0 
476400,3,10.0 
476394,1,6.0 
476391,6,10.0 
476390,4,10.0 
476389,4,5.5 
476389,4,5.5 
476388,4,10.0 
476388,9,4.0 
476388,5,6.0 
476387,8,4.0 
476387,6,1.0 
476387,7,6.0 
476385,2,1.0 
476383,4,1.0 
476381,7,4.0 
476381,7,4.0 
476379,8,6.0 
476378,8,6.0 
476377,1,1.0 
476376,8,1.0 
476376,1,6.0 
476376,5,1.0 
476375,4,1.0 
476374,2,6.0 
476374,3,1.0 
476371,6,10.0 
476370,6,4.0 
476370,7,1.0 
476369,4,1.0 
476367,2,1.0 
476366,4,6.0 
476365,9,10.0 
476363,8,5.0 
476363,8,5.0 
476363,4,6.0 
476363,6,10.0 
476362,4,4.0 
476360,7,6.0 
476360,9,6.0 
476360,6,10.0 
476353,2,10.0 
476353,1,6.0 
476352,2,10.0 
476351,8,6.0 
476350,9,10.0 
476345,2,1.0 
476342,6,1.0 
476341,2,4.0 
476340,6,4.0 
476339,6,10.0 
476338,1,10.0 
476336,4,1.0 
476334,9,6.0 
476334,8,6.0 
476332,2,4.0 
476327,4,10.0 
476326,5,6.0 
476326,9,10.0 
476324,6,1.0 
476322,6,10.0 
476322,3,4.0 
476321,3,1.0 
476319,7,10.0 
476318,9,1.0 
476316,9,4.0 
476316,6,4.0 
476314,9,10.0 
476314,1,1.0 
476312,4,6.0 
476312,1,10.0 
476310,5,4.0 
476310,3,1.0 
476309,6,6.0 
476308,2,4.0 
476307,3,6.0 
476306,7,6.0 
476305,2,10.0 
476305,8,10.0 
476305,5,10.0 
476304,7,4.0 
476301,5,6.0 
476301,2,6.0 
476301,6,4.0 
476297,2,1.0 
476297,6,4.0 
476297,4,1.0 
476296,5,4.0 
476295,7,6.0 
476294,7,10.0 
476293,7,1.0 
476292,8,1.0 
476291,6,1.0 
476290,1,4.0 
476289,8,10.0 
476289,2,6.0 
476289,3,4.0 
476288,8,4.0 
476288,5,1.0 
476288,9,10.0 
476287,1,1.0 
476287,6,1.0 
476286,4,10.0 
476286,9,6.0 
476283,4,4.0 
476282,3,1.0 
476282,9,10.0 
476281,7,4.0 
476280,3,1.0 
476278,7,1.0 
476275,7,1.0 
476274,7,1.0 
476274,9,1.0 
476273,6,10.0 
476273,7,4.0 
476272,2,1.0 
476271,5,10.0 
476270,2,4.0 
476269,3,6.0 
476268,3,4.0 
476267,6,10.0 
476264,4,1.0 
476263,3,1.0 
476263,9,10.0 
476263,9,10.0 
476262,9,4.0 
476260,1,1.0 
476259,8,6.0 
476257,6,1.0 
476254,5,1.0 
476253,5,6.0 
476250,4,4.0 
476250,2,4.0 
476249,7,6.0 
476248,5,10.0 
476246,2,6.0 
476245,3,4.0 
476245,4,4.0 
476242,4,4.0 
476240,2,1.0 
476240,8,6.0 
476240,4,10.0 
476239,5,1.0 
476239,9,10.0 
476232,9,4.0 
476229,5,4.0 
476227,8,4.0 
476227,4,6.0 
476225,4,1.0 
476225,5,10.0 
476225,7,4.0 
476222,8,6.0 
476222,6,1.0 
476220,8,6.0 
476220,3,6.0 
476220,6,6.0 
476219,3,6.0 
476217,7,6.0 
476217,4,6.0 
476217,9,10.0 
476216,6,6.0 
476216,3,1.0 
476213,2,1.0 
476212,5,6.0 
476212,1,3.5 
476212,1,3.5 
476211,8,6.0 
476211,5,10.0 
476209,5,6.0 
476208,2,6.0 
476207,6,10.0 
476207,8,6.0 
476205,8,5.5 
476205,8,5.5 
476205,1,6.0 
476205,7,1.0 
476203,9,10.0 
476200,8,4.0 
476199,3,4.0 
476196,8,6.0 
476196,5,10.0 
476194,9,6.0 
476194,7,1.0 
476191,1,10.0 
476189,1,6.0 
476189,9,6.0 
476188,8,4.0 
476186,3,1.0 
476186,6,1.0 
476185,5,6.0 
476184,1,1.0 
476182,5,1.0 
476175,9,10.0 
476175,3,7.0 
476175,2,7.0 
476175,2,7.0 
476175,3,7.0 
476174,6,4.0 
476171,6,4.0 
476170,5,1.0 
476170,1,10.0 
476169,7,1.0 
476168,4,1.0 
476164,8,1.0 
476163,3,4.0 
476162,2,10.0 
476162,8,4.0 
476161,8,4.0 
476161,9,1.0 
476160,4,4.0 
476158,2,6.0 
476156,8,6.0 
476155,1,1.0 
476153,7,10.0 
476151,9,6.0 
476148,2,6.0 
476147,6,1.0 
476146,3,6.0 
476144,6,6.0 
476144,4,5.5 
476144,4,5.5 
476143,6,1.0 
476143,9,4.0 
476142,7,1.0 
476140,5,6.0 
476140,5,6.0 
476139,4,4.0 
476139,1,4.0 
476138,4,6.0 
476135,1,4.0 
476134,7,4.0 
476131,8,4.0 
476129,6,10.0 
476128,9,6.0 
476127,1,1.0 
476123,8,1.0 
476123,3,6.0 
476123,2,1.0 
476122,9,1.0 
476121,1,10.0 
476121,3,4.0 
476120,4,10.0 
476119,5,10.0 
476119,6,1.0 
476119,7,1.0 
476118,7,6.0 
476117,4,10.0 
476117,3,1.0 
476116,9,6.0 
476116,7,6.0 
476115,7,10.0 
476115,3,10.0 
476115,9,6.0 
476115,8,1.0 
476114,2,1.0 
476113,6,4.0 
476113,8,1.0 
476113,5,1.0 
476113,5,1.0 
476112,9,1.0 
476111,1,6.0 
476109,8,6.0 
476106,9,4.0 
476105,3,10.0 
476104,6,4.0 
476104,2,10.0 
476103,1,4.0 
476103,6,1.0 
476103,9,1.0 
476097,7,4.0 
476096,8,4.0 
476095,8,10.0 
476095,9,4.0 
476093,6,10.0 
476092,4,10.0 
476091,8,1.0 
476091,2,10.0 
476091,9,6.0 
476090,3,1.0 
476087,1,10.0 
476086,4,1.0 
476085,4,10.0 
476083,7,6.0 
476082,7,6.0 
476077,9,6.0 
476077,7,4.0 
476076,4,4.0 
476076,8,10.0 
476075,5,1.0 
476073,7,1.0 
476073,1,10.0 
476071,4,10.0 
476070,4,1.0 
476070,5,6.0 
476069,2,1.0 
476069,6,4.0 
476069,9,4.0 
476069,4,8.0 
476069,9,4.0 
476069,4,8.0 
476069,5,4.0 
476068,9,1.0 
476067,6,1.0 
476066,7,1.0 
476066,6,6.0 
476063,6,1.0 
476063,4,10.0 
476061,3,10.0 
476061,7,10.0 
476059,6,10.0 
476059,4,1.0 
476057,6,10.0 
476057,9,1.0 
476056,2,1.0 
476054,8,4.0 
476054,9,10.0 
476053,7,6.0 
476052,8,1.0 
476052,2,10.0 
476051,3,6.0 
476051,9,10.0 
476050,3,10.0 
476050,2,4.0 
476048,8,6.0 
476048,2,4.0 
476046,2,4.0 
476046,2,4.0 
476045,8,6.0 
476042,7,4.0 
476041,3,7.0 
476041,9,10.0 
476041,3,7.0 
476040,1,1.0 
476039,3,1.0 
476039,5,6.0 
476038,1,4.0 
476037,8,4.0 
476036,6,10.0 
476036,3,4.0 
476036,7,4.0 
476036,2,4.0 
476033,8,6.0 
476027,8,1.0 
476027,5,6.0 
476026,4,2.5 
476026,9,4.0 
476026,4,2.5 
476024,9,4.0 
476023,8,1.0 
476022,2,10.0 
476020,1,10.0 
476020,4,6.0 
476019,4,1.0 
476018,6,6.0 
476017,9,10.0 
476017,4,4.0 
476015,3,10.0 
476014,3,10.0 
476013,7,4.0 
476013,8,6.0 
476010,6,6.0 
476009,9,6.0 
476008,8,6.0 
476007,9,4.0 
476006,9,6.0 
476005,7,10.0 
476003,4,4.0 
476002,9,4.0 
476001,5,6.0 
476000,2,10.0 
476000,6,1.0 
475997,7,1.0 
475997,6,6.0 
475995,5,4.0 
475993,9,1.0 
475992,8,6.0 
475992,4,4.0 
475991,4,10.0 
475991,6,1.0 
475990,1,6.0 
475988,2,10.0 
475988,5,1.0 
475984,5,4.0 
475979,2,1.0 
475976,1,6.0 
475975,2,10.0 
475972,1,10.0 
475972,2,4.0 
475972,8,6.0 
475971,4,1.0 
475970,7,1.0 
475969,8,1.0 
475968,8,10.0 
475967,4,4.0 
475966,4,4.0 
475965,1,4.0 
475965,5,10.0 
475965,4,6.0 
475959,9,6.0 
475958,8,6.0 
475957,9,4.0 
475956,2,6.0 
475956,9,6.0 
475952,2,10.0 
475952,4,10.0 
475950,2,4.0 
475948,7,6.0 
475947,8,6.0 
475946,9,1.0 
475946,6,6.0 
475946,3,4.0 
475945,2,3.5 
475945,2,3.5 
475945,5,6.0 
475943,2,6.0 
475941,3,1.0 
475937,1,10.0 
475934,8,1.0 
475933,4,6.0 
475933,8,10.0 
475933,9,4.0 
475930,8,10.0 
475930,8,10.0 
475929,7,10.0 
475927,7,4.0 
475927,8,1.0 
475926,9,4.0 
475925,3,6.0 
475924,9,1.0 
475921,1,1.0 
475921,7,6.0 
475921,2,1.0 
475921,3,6.0 
475919,8,10.0 
475918,1,6.0 
475918,7,10.0 
475917,3,10.0 
475916,7,4.0 
475915,3,10.0 
475915,6,1.0 
475911,5,4.0 
475910,1,4.0 
475907,5,4.0 
475905,2,1.0 
475904,5,10.0 
475902,4,10.0 
475902,5,4.0 
475901,7,8.0 
475901,1,10.0 
475901,7,8.0 
475899,9,6.0 
475896,8,6.0 
475896,7,10.0 
475894,3,1.0 
475892,5,1.0 
475891,4,10.0 
475889,8,1.0 
475887,7,1.0 
475886,1,1.0 
475884,4,10.0 
475881,8,6.0 
475880,4,6.0 
475879,2,6.0 
475878,2,1.0 
475876,7,6.0 
475875,3,4.0 
475875,9,1.0 
475868,5,1.0 
475866,5,10.0 
475865,9,2.5 
475865,9,2.5 
475864,4,4.0 
475864,9,10.0 
475862,9,1.0 
475860,7,10.0 
475860,6,6.0 
475858,4,10.0 
475856,1,4.0 
475856,3,4.0 
475856,8,1.0 
475855,5,1.0 
475854,2,6.0 
475853,4,1.0 
475852,4,10.0 
475851,4,1.0 
475851,1,4.0 
475848,2,1.0 
475847,5,1.0 
475845,6,10.0 
475844,9,10.0 
475843,4,4.0 
475843,9,10.0 
475843,9,10.0 
475840,4,4.0 
475839,3,6.0 
475836,9,7.0 
475836,9,7.0 
475834,7,4.0 
475834,3,10.0 
475832,9,6.0 
475831,3,1.0 
475830,4,1.0 
475830,7,6.0 
475829,8,10.0 
475828,9,10.0 
475827,1,5.0 
475827,1,5.0 
475827,7,10.0 
475826,7,10.0 
475824,4,6.0 
475823,8,4.0 
475821,3,6.0 
475820,8,4.0 
475817,3,6.0 
475816,3,6.0 
475815,2,10.0 
475815,6,6.0 
475811,9,6.0 
475810,7,10.0 
475809,2,6.0 
475808,9,6.0 
475804,8,1.0 
475803,6,10.0 
475803,2,1.0 
475802,2,6.0 
475802,5,6.0 
475801,9,10.0 
475801,7,4.0 
475799,5,10.0 
475797,6,10.0 
475797,2,6.0 
475795,9,6.0 
475793,1,1.0 
475793,4,4.0 
475792,8,6.0 
475792,7,1.0 
475791,1,4.0 
475791,6,6.0 
475790,3,1.0 
475790,8,1.0 
475789,1,6.0 
475788,5,10.0 
475788,6,4.0 
475788,8,1.0 
475785,4,4.0 
475785,2,10.0 
475785,8,1.0 
475784,5,4.0 
475783,7,10.0 
475780,3,1.0 
475777,1,10.0 
475776,5,1.0 
475776,4,4.0 
475772,7,6.0 
475770,8,10.0 
475770,2,10.0 
475769,2,6.0 
475767,7,1.0 
475765,3,10.0 
475764,7,4.0 
475763,5,10.0 
475763,9,4.0 
475763,1,6.0 
475762,2,3.5 
475762,2,3.5 
475761,7,4.0 
475761,2,10.0 
475761,1,10.0 
475760,2,4.0 
475760,8,4.0 
475759,8,10.0 
475757,4,1.0 
475756,9,4.0 
475756,1,10.0 
475753,3,6.0 
475752,2,6.0 
475751,1,10.0 
475746,4,10.0 
475745,6,6.0 
475741,3,1.0 
475741,9,1.0 
475741,4,1.0 
475739,9,6.0 
475738,8,10.0 
475738,2,1.0 
475737,4,6.0 
475736,7,10.0 
475736,4,7.33 
475736,1,1.0 
475736,5,10.0 
475736,4,7.33 
475736,4,7.33 
475735,1,10.0 
475735,9,1.0 
475734,5,4.0 
475733,3,4.0 
475730,1,4.0 
475730,6,4.0 
475724,3,4.0 
475723,1,8.0 
475723,1,8.0 
475722,6,6.0 
475720,6,10.0 
475720,2,4.0 
475719,4,4.0 
475715,3,10.0 
475714,2,4.0 
475707,9,3.5 
475707,9,3.5 
475707,5,1.0 
475705,8,6.0 
475705,3,10.0 
475704,2,6.0 
475704,7,10.0 
475702,5,7.0 
475702,6,10.0 
475702,5,7.0 
475701,1,6.0 
475700,1,6.0 
475697,6,10.0 
475696,1,1.0 
475695,1,6.0 
475694,2,4.0 
475693,9,10.0 
475692,5,1.0 
475691,4,6.0 
475690,2,6.0 
475690,3,10.0 
475688,3,10.0 
475686,9,10.0 
475686,2,6.0 
475683,7,4.0 
475682,3,4.0 
475677,7,6.0 
475675,6,10.0 
475674,3,10.0 
475671,5,6.0 
475671,1,6.0 
475670,2,6.0 
475670,4,6.0 
475669,1,1.0 
475667,3,10.0 
475667,5,1.0 
475666,7,6.0 
475666,9,4.0 
475665,3,10.0 
475664,8,10.0 
475663,8,4.0 
475661,9,1.0 
475661,3,6.0 
475661,7,1.0 
475660,9,6.0 
475655,6,10.0 
475654,7,5.5 
475654,7,5.5 
475654,8,10.0 
475653,2,1.0 
475653,9,6.0 
475650,5,10.0 
475650,2,1.0 
475650,9,2.66 
475650,8,1.0 
475650,9,2.66 
475650,9,2.66 
475649,5,1.0 
475648,6,6.0 
475647,1,1.0 
475647,6,10.0 
475647,3,4.0 
475646,9,1.0 
475645,6,10.0 
475644,1,4.0 
475644,9,10.0 
475643,4,4.0 
475643,9,1.0 
475643,3,3.5 
475643,1,4.0 
475643,3,3.5 
475642,7,4.0 
475641,8,1.0 
475637,1,1.0 
475636,1,4.0 
475635,3,1.0 
475634,2,4.0 
475633,9,4.0 
475630,6,1.0 
475629,2,10.0 
475629,7,1.0 
475627,9,10.0 
475625,6,1.0 
475625,3,1.0 
475624,2,6.0 
475622,9,1.0 
475621,2,4.0 
475621,5,6.0 
475619,4,4.0 
475618,3,4.0 
475616,8,10.0 
475612,2,1.0 
475611,5,1.0 
475610,8,6.0 
475610,6,10.0 
475608,2,10.0 
475608,9,1.0 
475606,8,4.0 
475604,5,4.0 
475603,4,10.0 
475601,4,4.0 
475601,2,1.0 
475600,6,10.0 
475600,4,10.0 
475599,1,10.0 
475595,5,5.5 
475595,6,1.0 
475595,5,5.5 
475594,3,1.0 
475594,4,6.0 
475593,4,10.0 
475592,3,4.0 
475592,8,6.0 
475589,3,6.0 
475589,2,10.0 
475588,1,1.0 
475586,7,1.0 
475586,6,10.0 
475584,1,1.0 
475583,9,4.0 
475582,6,6.0 
475582,2,4.0 
475580,8,6.0 
475579,4,4.0 
475576,5,1.0 
475575,1,4.0 
475575,7,6.0 
475575,4,10.0 
475574,9,10.0 
475573,1,6.0 
475571,6,4.0 
475568,8,4.0 
475567,2,4.0 
475565,1,1.0 
475565,3,1.0 
475564,6,1.0 
475564,7,4.0 
475563,8,1.0 
475563,6,10.0 
475562,8,4.0 
475561,6,1.0 
475561,2,4.0 
475561,3,6.0 
475560,5,1.0 
475559,7,6.0 
475559,3,4.0 
475557,7,6.0 
475557,9,6.0 
475556,8,1.0 
475555,8,6.0 
475553,6,4.0 
475551,8,4.0 
475548,1,1.0 
475548,6,10.0 
475548,8,6.0 
475547,8,4.0 
475545,8,6.0 
475542,4,1.0 
475541,7,6.0 
475541,4,6.0 
475540,5,10.0 
475535,9,6.0 
475534,8,1.0 
475533,2,4.0 
475530,7,4.0 
475527,4,10.0 
475527,8,1.0 
475525,7,1.0 
475523,4,10.0 
475522,9,10.0 
475521,4,10.0 
475520,1,4.0 
475520,4,6.0 
475518,4,10.0 
475518,9,10.0 
475517,8,1.0 
475517,3,10.0 
475517,5,6.0 
475516,3,4.0 
475514,7,10.0 
475513,5,4.0 
475512,6,6.0 
475511,3,10.0 
475509,7,6.0 
475506,1,1.0 
475503,6,10.0 
475501,9,6.0 
475501,4,10.0 
475500,8,1.0 
475499,9,6.0 
475497,5,10.0 
475496,5,10.0 
475496,1,6.0 
475494,4,10.0 
475493,1,1.0 
475493,6,10.0 
475486,2,6.0 
475485,2,4.0 
475484,9,10.0 
475484,8,6.0 
475483,7,4.0 
475481,5,6.0 
475480,6,4.0 
475478,9,1.0 
475478,4,1.0 
475476,8,10.0 
475475,5,6.0 
475475,2,4.0 
475474,9,6.0 
475473,4,6.0 
475472,3,10.0 
475472,3,10.0 
475471,7,1.0 
475470,3,1.0 
475470,1,6.0 
475468,3,4.0 
475468,6,1.0 
475467,9,6.0 
475466,4,4.0 
475466,9,1.0 
475465,9,6.0 
475464,2,6.0 
475463,8,6.0 
475462,1,4.0 
475461,2,4.0 
475459,9,4.0 
475457,3,1.0 
475454,6,2.5 
475454,6,2.5 
475451,1,10.0 
475449,7,4.0 
475447,8,1.0 
475447,6,6.0 
475445,3,10.0 
475444,7,6.0 
475443,5,6.0 
475442,7,6.0 
475440,1,4.0 
475439,8,4.0 
475439,2,4.0 
475438,1,10.0 
475437,8,4.0 
475436,8,10.0 
475434,1,6.0 
475434,4,4.0 
475430,4,1.0 
475429,7,4.0 
475429,1,6.0 
475428,1,1.0 
475427,7,6.0 
475420,6,10.0 
475419,4,1.0 
475419,7,10.0 
475418,3,10.0 
475418,8,6.0 
475418,5,4.0 
475415,3,1.0 
475413,8,6.0 
475412,5,6.0 
475412,3,4.0 
475411,2,4.0 
475410,3,5.0 
475410,3,5.0 
475410,6,1.0 
475409,5,10.0 
475409,1,1.0 
475408,4,6.0 
475407,3,1.0 
475406,1,1.0 
475405,5,1.0 
475404,7,1.0 
475403,9,6.0 
475403,8,4.0 
475396,1,2.5 
475396,1,2.5 
475395,2,4.0 
475394,9,10.0 
475394,7,10.0 
475394,3,6.0 
475393,3,6.0 
475392,7,1.0 
475391,3,1.0 
475390,5,10.0 
475387,5,6.0 
475386,6,6.0 
475386,5,1.0 
475383,7,10.0 
475382,7,1.0 
475380,8,1.0 
475378,6,1.0 
475377,5,6.0 
475377,3,1.0 
475373,3,10.0 
475373,4,6.0 
475373,9,1.0 
475372,4,10.0 
475372,5,1.0 
475371,1,1.0 
475370,3,1.0 
475369,7,10.0 
475366,5,10.0 
475366,2,10.0 
475365,9,1.0 
475365,5,1.0 
475364,2,4.0 
475359,9,6.0 
475359,3,6.0 
475358,1,1.0 
475357,7,6.0 
475357,5,4.0 
475354,6,4.0 
475354,4,4.0 
475354,7,6.0 
475353,5,10.0 
475352,6,1.0 
475350,1,6.0 
475350,6,10.0 
475350,3,4.0 
475348,1,6.0 
475348,8,4.0 
475347,1,4.0 
475347,4,6.0 
475346,1,1.0 
475346,2,10.0 
475345,6,1.0 
475342,2,5.5 
475342,4,1.0 
475342,2,5.5 
475342,5,6.0 
475341,5,10.0 
475341,8,6.0 
475340,8,10.0 
475340,1,6.0 
475337,9,6.0 
475336,7,6.0 
475335,8,10.0 
475331,6,4.33 
475331,6,4.33 
475331,6,4.33 
475331,5,1.0 
